feature,importance
resp_fuids_FKXkKf2aGEROcjdrse,6.094882010376585e-06
resp_fuids_FxLN902GsDqNCOLix6,5.932822197874954e-06
resp_fuids_FzQohR3dVDYR8M6VM7,5.93038719508239e-06
history_ShADaFdRf,5.914271267032397e-06
history_^hSADadcfR,5.6809584483354136e-06
resp_fuids_FxvjHb4R7lpN5rsEW7,5.580392318833452e-06
resp_fuids_F0izQH333jHoY2GOf6,5.402930514521727e-06
resp_fuids_FfZEokM1tFyrBSEgd,5.180020483543995e-06
history_ShADTacgdR,5.173851000707211e-06
orig_fuids_FWoSxS1LazhSpndsnh,5.038070719195225e-06
resp_fuids_FXBSK34JKiKFbwB4bb,5.0311044167775465e-06
resp_fuids_FDfPvE2mRUA5pmEhQ,5.004483639141561e-06
history_ShADaFdRc,4.932244560216042e-06
resp_fuids_FyZLya2esu9Vw6glY1,4.927981207165013e-06
orig_fuids_FMAjo1LFyhG6IV354,4.774438421748466e-06
resp_fuids_FWbr7D4xNqQjgdRQ4c,4.714775497418431e-06
history_ShADadfR,4.599405818409615e-06
resp_fuids_FZMd9u4fQ9363QIlC3,4.491999868703624e-06
resp_fuids_Fdkw9o4RV4LDxeCExh,4.412304531864899e-06
resp_fuids_F4w3vrJv8ZPTSubni,4.396855983069662e-06
history_ShADTFcdfR,4.378699692207095e-06
history_ShADTFadRc,4.356490987811496e-06
resp_fuids_FPmng17uudNVlW8I1,4.332471650916077e-06
history_ShADaFcRdf,4.015082430288833e-06
history_ShADTadgfR,3.979432766479583e-06
status_code_500,3.967833926723271e-06
history_ShADTaFcRdf,3.926428258545012e-06
resp_fuids_Fbp1Yr2pmqFWiDLYA2,3.91233299292195e-06
resp_fuids_FYaICM2cynzZAtshNh,3.819288702399115e-06
history_ShADTFaTdcR,3.734789588302808e-06
resp_fuids_FINzqe13zCMGeQoap7,3.6937326484609995e-06
resp_fuids_FLqhG871a7B6eAxDj,3.6599874823855514e-06
resp_fuids_FgZpfy5CyhdxfrOEh,3.618713283582784e-06
history_ShADTadgcR,3.608714703070119e-06
history_ShADTFcdRf,3.566262088908623e-06
orig_fuids_FitW024eUZVGAz2gu,3.515745084016011e-06
resp_fuids_FE7QlSKljCdJDVMg1,3.488399379579357e-06
history_ShADaFcdR,3.4302083259391137e-06
orig_fuids_FqwGIp16g53pK7C7Wk,3.4256065442609928e-06
resp_fuids_Fko7712lOzTRfFOftk,3.4185226744243278e-06
resp_fuids_Fvu8YS1CMgKSh64HDi,3.374242214477017e-06
history_ShADaFcfR,3.3660534743060235e-06
orig_fuids_Fykuu32b0VycIih5dc,3.3613194508081236e-06
resp_fuids_FgG2al3QThqMkQ1Si9,3.359268162279911e-06
resp_fuids_FoOtxcCEi45DUc3O2,3.3586156897337105e-06
orig_fuids_FDW7aeT2l3twRkah5,3.3412388152315417e-06
resp_fuids_FQoPtA3gv5wT6j2FJl,3.2974718190952566e-06
resp_fuids_FmxtUx4fDQKgocjpOj,3.2603724391620605e-06
resp_fuids_Fm4fWh3KrjUYgywCb3,3.163472886918591e-06
history_^hSADacfR,3.133812491305904e-06
resp_fuids_Fs3dvh3EoCt4sFmgSl,3.067546568192967e-06
orig_fuids_FE28fyJtmLclXJYac,2.991372592237549e-06
orig_fuids_FASmbh2nehi9YX7k95,2.9892650287384735e-06
history_ShADTagcfR,2.8856060752437194e-06
history_ShADTFaRcdf,2.8844605725178287e-06
resp_fuids_FVuXbZ2uRpZJBcUwh,2.7823872822046902e-06
resp_fuids_FgUzuk3giDDukH5dn9,2.659844206078633e-06
resp_fuids_FQ8crf4ofIiFf3fhgl,2.6545358679518308e-06
version_1,2.6066674190519892e-06
history_ShADaFdcRf,2.6051215240590314e-06
history_ShADaFRc,2.5562615846455365e-06
history_ShADTFaRc,2.4687956491737482e-06
orig_fuids_FAXBN3K8pIn2GKcce,2.440278633529345e-06
resp_fuids_FIaUCq2bY0nJpk90Oc,2.437076641940379e-06
history_SAhDagcfR,2.4331519365381594e-06
resp_fuids_FdTG8DIqkTop2Xmoi,2.429999966481447e-06
history_ShADaFcdfR,2.4198748697218335e-06
resp_fuids_FvRngNjaiM5GmPpej,2.383925964694816e-06
resp_fuids_FFoKBe21FfgU7M5Bfb,2.3385505016576252e-06
resp_fuids_FbyzT13Szl75cx4Eh1,2.328893138638818e-06
resp_fuids_Fu0vPVlaRJyUtkX19,2.2830895397468815e-06
resp_fuids_Fj6muC43HDRCb2NCfc,2.2657116038372845e-06
resp_fuids_FZMcTf3xHLMqJKCPXl,2.1828679101211055e-06
resp_fuids_F4t5Gp4O4X9lgVDsTl,2.1600925708590018e-06
orig_fuids_F5dQQO1KfIscv7jTpd,2.153908496273001e-06
resp_fuids_FhMFgX1da0FFpeRoW7,2.109311873598443e-06
resp_fuids_FtBk5h2QK0VXqidRrf,2.079319763513049e-06
resp_fuids_FVl8Ew2zyCEnO31buj,2.0501538556579386e-06
orig_fuids_FhAgdC15yvmuixMwpi,2.030173433127008e-06
orig_fuids_F4e4tY1e3olWkacwA,2.0123703294413552e-06
resp_fuids_Fuu16m22La1g05Q7M9,1.9668596221982138e-06
resp_fuids_FgVJkU3TwcPh9MSFz6,1.9444090533041108e-06
resp_fuids_FlbZjRjZmeK6PBmw3,1.9013741241199524e-06
orig_fuids_FuNSGp1Q2Hr3RQ4yqh,1.850504467739476e-06
resp_fuids_Fq6vJn4M9tloITMLia,1.7992932437063277e-06
resp_fuids_FGeKci2HbfJXV6Qnm1,1.7783395810320698e-06
resp_fuids_FZDB3e2e135SGrBUl1,1.7752518489216457e-06
resp_fuids_F2MmyA3UkLdwCjx3Q7,1.6596316263602729e-06
resp_fuids_F9Z7Zy4cfNz3rMp5Ul,1.6567845295320647e-06
resp_fuids_Fcjnbt3dfKuHT4G0f1,1.5860178798718744e-06
resp_fuids_F09cOj1d6YcxXA3S55,1.579061600878335e-06
history_ShADTFcRd,1.5666400309614088e-06
resp_fuids_FWa9C1BPA7N9eq931,1.5016872526204576e-06
resp_fuids_FRLzQn3A8ZVoR1Ir42,1.4963653829493613e-06
history_ShADTagcdR,1.491103956720995e-06
status_msg_Internal Server Error,1.4525096969130417e-06
resp_fuids_FlB4oo3t7Kq4GyPqo2,1.3545547781023097e-06
history_ShADTaFRcd,1.3545240108638099e-06
orig_fuids_FusUdO1UkQsHf2LNjd,1.3466177968966989e-06
resp_fuids_FQICLz1Z5uBB2Zteqb,1.2511446671821293e-06
history_ShADTaFdcRf,1.2454747889862625e-06
resp_fuids_FaA2n4SEYf53zebt8,1.245173436894019e-06
resp_fuids_FKr3471vTFNpuBC697,1.243019299736702e-06
resp_fuids_FmT8Fx1OMtd0bceT1f,1.2355906952815433e-06
resp_fuids_FF8IgO3R5Wh6EFMrs6,1.231146552413727e-06
history_ShADaFdfR,1.2185992878390079e-06
resp_fuids_FafAoo4q7e4lLnCDqe,1.2068475286189762e-06
resp_fuids_FTCXGx1JAe5TkWR9wg,1.202389212378057e-06
resp_fuids_Fc4tz04BId4JXdZS98,1.1979448502031253e-06
resp_fuids_FUQ7DI3cmbsIv2BDx,1.1918815837337514e-06
resp_fuids_F5bJPy26Gpj2iL6qKg,1.1809121687729632e-06
resp_fuids_FzEQJ7MFUov0stRA8,1.176536767315919e-06
resp_fuids_FeJsjn4hsWO9oYOWwa,1.1662087396839785e-06
resp_fuids_FkuWxk3gkn24F4SU58,1.165687600362919e-06
history_ShADTFacdRf,1.1610274723931864e-06
orig_fuids_FbYgkl4668u5UwqsU5,1.1335043895081105e-06
resp_fuids_FL4RO519X6JcSS1lOh,1.122416939158543e-06
orig_fuids_FjjC5FrdmVb4guKY2,1.0771842457928137e-06
resp_fuids_F6z6hL2rFgXFiaJOLg,1.0082033486917322e-06
resp_fuids_FH8rTH2QkYPXcURU5i,9.640081746526304e-07
resp_fuids_FWZP8i4kQ6Epdtt6D1,9.456180679835592e-07
resp_fuids_FblrJGQZcPc7xbH41,9.393393204880438e-07
resp_fuids_Fts4ma3PGF5NYsLy5,8.175790576714571e-07
resp_fuids_FkqPzc1MXHOLCKZfe8,7.718185673804031e-07
resp_fuids_F178Wz4MkldSvyFUDd,7.4650700000486e-07
resp_fuids_F60oJk18akamDMrt62,7.352284167417484e-07
history_ShADTFaRcd,7.024015355776348e-07
conn_state_OTH,6.914032482669828e-07
ip_proto,6.628536707729149e-07
proto_icmp,6.374147916750633e-07
id.resp_p_x,6.085410022851587e-07
proto_tcp,6.083976604237349e-07
history_ShADagcdfR,5.975279650255062e-07
resp_fuids_FqRTmw2hBJi12UHuyh,5.290670453505661e-07
history_ShADadgfF,4.3491780829639e-07
local_resp_T,3.594807695338743e-07
history_ShAaGDcfgF,3.399961593816227e-07
local_resp_F,3.318198631386611e-07
resp_fuids_F8NUBR4HCYg71sF,3.0731034469037706e-07
resp_fuids_Fw1Kse3SV5kYtl8ga5,3.0301035234732884e-07
resp_fuids_Fwcr6v2F1LRYJTVFll,2.885384233545445e-07
resp_fuids_F9E82M30y9wVQ6ZCJf,2.7730458725444197e-07
resp_fuids_FZeuCo24DwNUFcpqL5,2.7551706480924714e-07
resp_fuids_FFMq7Q1dmdYXWNDAg,2.671899354215685e-07
history_-,2.2126274096853484e-07
resp_fuids_FyYhCj2xLEwjj07ol,2.2070158749498522e-07
resp_fuids_FgZJdg39bJPKJa3wLh,2.2065144332712598e-07
resp_fuids_FVLlZg3scY72hxjts4,1.8899799983308867e-07
history_ShAaGDcgfF,1.881807641608799e-07
resp_fuids_FPOSUm4jrLpNDWuvnc,1.8332301135469642e-07
resp_fuids_FNbHAD4lAPAdUZsX38,1.8229202827723682e-07
history_ShADTFaTdRf,1.7562896252547432e-07
resp_fuids_F6jlIo3KBvsfFSDtl2,1.6876099638079914e-07
resp_fuids_Fc0Ggq3DdQyeSTkCEe,1.655619820777108e-07
resp_fuids_Fpee2K20ZqHPujvogj,1.6510525837769538e-07
resp_fuids_FosNvM3la6M24MT4D7,1.6494545676005303e-07
resp_fuids_F4mtvJ1Gp8X8XEQbP6,1.6429242914445223e-07
resp_fuids_F0HnRI3V8WsnmyC1Ef,1.6054794181137168e-07
resp_fuids_Fz5j15DrN0JHXHZt4,1.6026902873329428e-07
resp_fuids_FZ04SX3JDt0eQzirm9,1.3800389083642e-07
resp_fuids_FOQoeX2t2aC7rvrIe1,1.376307828988448e-07
resp_fuids_F9zohp4WLKtUx1kAS6,1.3724116973322376e-07
resp_fuids_FeMWmi2D5JEqptc6Sc,1.3717271749153498e-07
resp_fuids_Fbzyho3Ne5dbrcniYa,1.3668480312066094e-07
resp_fuids_FSsl5r4QUjheTphtxj,1.340860307388494e-07
resp_fuids_Fq2UAM1XemGCe5xB7f,1.2429848290871724e-07
resp_fuids_F5mUmilwDlmYzJayj,1.240642830889727e-07
resp_fuids_FNu7jW1j76iufeMnab,1.2209335212171454e-07
resp_fuids_Fu1Iix3MFnrOwd6u4a,1.1045465003210248e-07
resp_fuids_FwXcwY2wxW6mR8y2ui,1.1028968465235225e-07
resp_fuids_FCulYa385qaRjAmi8,1.1008090621981189e-07
resp_fuids_FB7HkeSxqtCuJMC74,1.0979553201134478e-07
resp_fuids_Fqu5Md1xIn3wkO6bql,1.0961211982269659e-07
resp_fuids_F5ibGw2ag8xjdo5dU,1.0946911128101201e-07
resp_fuids_Fjh9dD3OZzRSk4an9i,1.0233200501990162e-07
resp_fuids_FDD08v1h3rjXGx1Zq9,9.66563226188152e-08
